,frame_index,car_id,car_type,speed
0,16,1,car,340.0
1,16,9,van,740.0
2,16,11,van,100.0
3,16,14,truck,160.0
4,17,1,car,360.0
5,17,9,van,860.0
6,17,11,van,100.0
7,17,14,truck,160.0
8,18,1,car,360.0
9,18,9,van,920.0
10,18,11,van,100.0
11,18,14,truck,180.0
12,19,1,car,340.0
13,19,9,van,1020.0
14,19,11,van,100.0
15,19,14,truck,180.0
16,20,1,car,320.0
17,20,11,van,100.0
18,20,14,truck,180.0
19,21,1,car,300.0
20,21,11,van,100.0
21,21,14,truck,160.0
22,22,1,car,280.0
23,22,11,van,100.0
24,22,14,truck,120.0
25,23,1,car,260.0
26,23,3,car,140.0
27,23,14,truck,120.0
28,24,1,car,260.0
29,24,14,truck,140.0
30,25,1,car,260.0
31,25,11,van,100.0
32,25,14,truck,140.0
33,26,1,car,240.0
34,26,14,truck,140.0
35,27,1,car,220.0
36,27,14,truck,120.0
37,28,1,car,220.0
38,28,11,van,100.0
39,28,14,truck,120.0
40,29,1,car,240.0
41,29,11,van,100.0
42,29,14,truck,120.0
43,30,1,car,220.0
44,30,3,car,140.0
45,30,14,truck,140.0
46,31,1,car,220.0
47,31,3,car,140.0
48,31,14,truck,140.0
49,32,1,car,220.0
50,32,3,car,180.0
51,32,14,truck,140.0
52,33,1,car,160.0
53,33,3,car,160.0
54,33,14,truck,120.0
55,34,1,car,180.0
56,34,3,car,160.0
57,34,11,van,100.0
58,34,14,truck,100.0
59,35,1,car,180.0
60,35,3,car,160.0
61,35,14,truck,100.0
62,36,1,car,160.0
63,36,3,car,160.0
64,36,14,truck,80.0
65,37,1,car,180.0
66,37,3,car,180.0
67,37,14,truck,100.0
68,38,1,car,180.0
69,38,3,car,200.0
70,38,11,van,100.0
71,38,14,truck,140.0
72,39,1,car,160.0
73,39,3,car,200.0
74,39,11,van,100.0
75,39,14,truck,120.0
76,40,1,car,160.0
77,40,3,car,240.0
78,40,14,truck,100.0
79,41,1,car,140.0
80,41,3,car,260.0
81,42,3,car,260.0
82,42,14,truck,100.0
83,43,1,car,140.0
84,43,3,car,260.0
85,43,14,truck,100.0
86,44,1,car,140.0
87,44,3,car,260.0
88,45,3,car,280.0
89,45,14,truck,100.0
90,46,1,car,140.0
91,46,3,car,320.0
92,46,14,truck,120.0
93,47,3,car,360.0
94,47,14,truck,80.0
95,48,3,car,380.0
96,48,14,truck,80.0
97,49,3,car,400.0
98,49,14,truck,100.0
99,50,3,car,420.0
100,50,14,truck,80.0
101,51,3,car,420.0
102,51,14,truck,80.0
103,52,3,car,460.0
104,52,14,truck,80.0
105,52,15,car,140.0
106,53,3,car,540.0
107,53,14,truck,100.0
108,53,15,car,160.0
109,54,3,car,600.0
110,54,14,truck,80.0
111,54,15,car,140.0
112,55,3,car,660.0
113,55,15,car,160.0
114,56,3,car,720.0
115,56,15,car,180.0
116,56,19,car,300.0
117,57,3,car,760.0
118,57,15,car,200.0
119,57,19,car,300.0
120,58,3,car,840.0
121,58,15,car,180.0
122,58,19,car,260.0
123,59,3,car,940.0
124,59,14,truck,80.0
125,59,15,car,160.0
126,59,19,car,260.0
127,60,3,car,1040.0
128,60,14,truck,80.0
129,60,15,car,180.0
130,60,19,car,260.0
131,61,15,car,220.0
132,61,19,car,240.0
133,62,14,truck,80.0
134,62,15,car,260.0
135,62,19,car,240.0
136,63,14,truck,80.0
137,63,15,car,260.0
138,63,19,car,200.0
139,64,14,truck,80.0
140,64,15,car,240.0
141,64,19,car,200.0
142,65,14,truck,120.0
143,65,15,car,260.0
144,65,19,car,220.0
145,66,14,truck,100.0
146,66,15,car,280.0
147,66,19,car,220.0
148,67,15,car,320.0
149,67,19,car,200.0
150,68,15,car,320.0
151,68,16,car,140.0
152,68,19,car,200.0
153,69,15,car,340.0
154,69,16,car,160.0
155,69,19,car,180.0
156,70,15,car,380.0
157,70,16,car,160.0
158,70,19,car,140.0
159,71,15,car,400.0
160,71,16,car,140.0
161,71,19,car,160.0
162,72,15,car,420.0
163,72,16,car,140.0
164,72,19,car,180.0
165,73,15,car,480.0
166,73,16,car,160.0
167,73,19,car,160.0
168,74,15,car,520.0
169,74,16,car,180.0
170,74,19,car,140.0
171,75,15,car,520.0
172,75,16,car,180.0
173,75,19,car,160.0
174,76,5,car,140.0
175,76,15,car,600.0
176,76,16,car,180.0
177,76,19,car,140.0
178,77,5,car,160.0
179,77,14,truck,80.0
180,77,15,car,700.0
181,77,16,car,220.0
182,77,19,car,140.0
183,78,5,car,160.0
184,78,14,truck,80.0
185,78,15,car,740.0
186,78,16,car,220.0
187,78,19,car,140.0
188,79,15,car,780.0
189,79,16,car,200.0
190,79,19,car,140.0
191,80,5,car,140.0
192,80,15,car,900.0
193,80,16,car,280.0
194,80,19,car,160.0
195,81,5,car,140.0
196,81,15,car,1000.0
197,81,16,car,320.0
198,81,19,car,160.0
199,82,5,car,160.0
200,82,15,car,1040.0
201,82,16,car,320.0
202,83,5,car,140.0
203,83,16,car,280.0
204,84,5,car,160.0
205,84,16,car,320.0
206,85,5,car,160.0
207,85,16,car,380.0
208,86,5,car,160.0
209,86,16,car,380.0
210,87,5,car,200.0
211,87,16,car,420.0
212,88,5,car,220.0
213,88,16,car,420.0
214,89,5,car,200.0
215,89,16,car,460.0
216,89,20,car,340.0
217,90,5,car,200.0
218,90,14,truck,80.0
219,90,16,car,560.0
220,90,20,car,320.0
221,91,5,car,220.0
222,91,14,truck,80.0
223,91,16,car,600.0
224,91,20,car,260.0
225,92,5,car,220.0
226,92,14,truck,100.0
227,92,16,car,620.0
